symbol,name,sector,market_cap,date_of_listing
PHOENIXLTD.NS,The Phoenix Mills Limited,Real Estate,623140339712,2007-04-23 03:45:00+00:00
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,918424977408,2017-09-01 03:45:00+00:00
YESBANK.NS,Yes Bank Limited,Financial Services,715382915072,2005-07-12 03:45:00+00:00
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,624226533376,1996-01-01 03:45:00+00:00
LUPIN.NS,Lupin Limited,Healthcare,944439492608,2001-09-10 03:45:00+00:00
PRESTIGE.NS,Prestige Estates Projects Limited,Real Estate,719147171840,2010-10-27 03:45:00+00:00
VEDL.NS,Vedanta Limited,Basic Materials,2030953562112,1996-01-01 03:45:00+00:00
GLENMARK.NS,Glenmark Pharmaceuticals Limited,Healthcare,546905161728,2002-07-01 03:45:00+00:00
BHEL.NS,Bharat Heavy Electricals Limited,Industrials,1014324985856,1996-01-01 03:45:00+00:00
MUTHOOTFIN.NS,Muthoot Finance Limited,Financial Services,1508513546240,2011-05-06 03:45:00+00:00
HINDZINC.NS,Hindustan Zinc Limited,Basic Materials,2008716541952,2002-08-12 03:45:00+00:00
ASHOKLEY.NS,Ashok Leyland Limited,Industrials,930888417280,2002-07-01 03:45:00+00:00
IDEA.NS,Vodafone Idea Limited,Communication Services,1098864918528,2007-03-09 03:45:00+00:00
GMRAIRPORT.NS,GMR Airports Limited,Industrials,1127875346432,2006-08-21 03:45:00+00:00
BEL.NS,Bharat Electronics Limited,Industrials,3020400623616,2002-07-01 03:45:00+00:00
AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare,716825296896,1996-01-15 03:45:00+00:00
IDFCFIRSTB.NS,IDFC First Bank Limited,Financial Services,694235889664,2015-11-06 03:45:00+00:00
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,1456844439552,2002-07-01 03:45:00+00:00
SBIN.NS,State Bank of India,Financial Services,8980005912576,1996-01-01 03:45:00+00:00
GODREJPROP.NS,Godrej Properties Limited,Real Estate,631328473088,2010-01-05 03:45:00+00:00
HINDALCO.NS,Hindalco Industries Limited,Basic Materials,1806653587456,1996-01-01 03:45:00+00:00
MAXHEALTH.NS,Max Healthcare Institute Limited,Healthcare,1129406398464,2020-08-21 03:45:00+00:00
JSWSTEEL.NS,JSW Steel Limited,Basic Materials,2820164812800,2003-05-08 03:45:00+00:00
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,1038406975488,1996-01-01 03:45:00+00:00
NHPC.NS,NHPC Limited,Utilities,773166333952,2009-09-01 03:45:00+00:00
LTF.NS,L&T Finance Limited,Financial Services,768676593664,2011-08-12 03:45:00+00:00
BSE.NS,BSE Limited,Financial Services,1180942204928,2017-02-03 03:45:00+00:00
JUBLFOOD.NS,Jubilant FoodWorks Limited,Consumer Cyclical,399100739584,2010-02-08 03:45:00+00:00
ADANIPOWER.NS,Adani Power Limited,Utilities,2873033752576,2009-08-20 03:45:00+00:00
NATIONALUM.NS,National Aluminium Company Limited,Basic Materials,479742296064,1999-04-28 03:45:00+00:00
POLYCAB.NS,Polycab India Limited,Industrials,1123601481728,2019-04-16 03:45:00+00:00
AUBANK.NS,AU Small Finance Bank Limited,Financial Services,704571834368,2017-07-11 03:45:00+00:00
MOTHERSON.NS,Samvardhana Motherson International Limited,Consumer Cyclical,1220832395264,2002-07-01 03:45:00+00:00
RELIANCE.NS,Reliance Industries Limited,Energy,21085722509312,1996-01-01 03:45:00+00:00
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,1228901318656,2002-07-01 03:45:00+00:00
INDIANB.NS,Indian Bank,Financial Services,1166216265728,2007-03-01 03:45:00+00:00
UPL.NS,UPL Limited,Basic Materials,640502857728,2002-07-01 03:45:00+00:00
JIOFIN.NS,Jio Financial Services Limited,Financial Services,1944061345792,2023-08-21 03:45:00+00:00
BANKBARODA.NS,Bank of Baroda Limited,Financial Services,1484525404160,2002-07-01 03:45:00+00:00
CIPLA.NS,Cipla Limited,Healthcare,1230881816576,1996-01-01 03:45:00+00:00
OBEROIRLTY.NS,Oberoi Realty Limited,Real Estate,603904016384,2010-10-20 03:45:00+00:00
SAIL.NS,Steel Authority of India Limited,Basic Materials,565442379776,1996-01-01 03:45:00+00:00
HUDCO.NS,Housing and Urban Development Corporation Limited,Financial Services,478954586112,2017-05-19 03:45:00+00:00
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,1632010502144,2002-07-01 03:45:00+00:00
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,2515374178304,2002-07-01 03:45:00+00:00
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,1167829106688,2002-07-01 03:45:00+00:00
UNIONBANK.NS,Union Bank of India,Financial Services,1171529400320,2002-09-24 03:45:00+00:00
TATASTEEL.NS,Tata Steel Limited,Basic Materials,2093274890240,1996-01-01 03:45:00+00:00
DLF.NS,DLF Limited,Real Estate,1795228172288,2007-07-05 03:45:00+00:00
SBICARD.NS,SBI Cards and Payment Services Limited,Financial Services,838360956928,2020-03-16 03:45:00+00:00
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Healthcare,1260303155200,2002-07-01 03:45:00+00:00
CUMMINSIND.NS,Cummins India Limited,Industrials,1234311708672,2002-07-01 03:45:00+00:00
ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,1181761798144,2023-08-16 03:45:00+00:00
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,1352324743168,2002-07-01 03:45:00+00:00
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,942589673472,2000-04-27 03:45:00+00:00
FORTIS.NS,Fortis Healthcare Limited,Healthcare,696410767360,2007-05-09 03:45:00+00:00
PFC.NS,Power Finance Corporation Limited,Financial Services,1207141400576,2007-02-23 03:45:00+00:00
BANKINDIA.NS,Bank of India Limited,Financial Services,669014491136,2002-07-01 03:45:00+00:00
ETERNAL.NS,Eternal Limited,Consumer Cyclical,2754226946048,2021-07-23 03:45:00+00:00
