symbol,name,sector,market_cap,date_of_listing
20MICRONS.NS,20 Microns Limited,Basic Materials,6863544832,2008-10-06 03:45:00+00:00
21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,393750016.0,2018-01-11 03:45:00+00:00
360ONE.NS,360 One Wam Limited,Financial Services,470798630912.0,2019-09-19 03:45:00+00:00
3IINFOLTD.NS,3i Infotech Limited,Technology,3519084032.0,2005-04-22 03:45:00+00:00
3MINDIA.NS,3M India Limited,Industrials,394953359360.0,2002-07-01 03:45:00+00:00
3PLAND.NS,3P Land Holdings Ltd,,,2008-03-11 03:45:00+00:00
5PAISA.NS,5paisa Capital Limited,Financial Services,10636994560.0,2017-11-16 03:45:00+00:00
63MOONS.NS,63 moons technologies limited,Technology,35551715328.0,2005-06-20 03:45:00+00:00
A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,2753856000.0,2010-12-23 03:45:00+00:00
AAATECH.NS,AAA Technologies Limited,Technology,1147998592.0,2020-11-12 03:45:00+00:00
AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,209422581760.0,2024-05-15 03:45:00+00:00
AAKASH.NS,Aakash Exploration Services Limited,Energy,887962560.0,2018-05-15 03:45:00+00:00
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,2495178752.0,2021-08-06 03:45:00+00:00
AARON.NS,Aaron Industries Limited,Industrials,3908612864.0,2018-09-18 03:45:00+00:00
AARTECH.NS,Aartech Solonics Limited,Industrials,1561532288.0,2023-07-10 03:45:00+00:00
AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,39336005632.0,2003-09-19 03:45:00+00:00
AARTIIND.NS,Aarti Industries Limited,Basic Materials,138076569600.0,2002-07-01 03:45:00+00:00
AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,63444045824.0,2023-01-30 03:45:00+00:00
AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,3632924160.0,2020-07-14 03:45:00+00:00
AARVI.NS,Aarvi Encon Limited,Industrials,1913542400.0,2017-10-06 03:45:00+00:00
AAVAS.NS,Aavas Financiers Limited,Financial Services,125111541760.0,2018-10-08 03:45:00+00:00
ABAN.NS,Aban Offshore Limited,Energy,2027027712.0,2002-08-12 03:45:00+00:00
ABB.NS,ABB India Limited,Industrials,1105136058368.0,2002-07-01 03:45:00+00:00
